   Aircraft_family,   Aircraft_family_code,   No_of_aircrafts
ATR 42 family,ATR42, 296 
ATR 72 family,ATR72, 962 
Airbus A220 family,BCSX, 230 
Airbus A300 family,A300, 235 
Airbus A310 family,A310, 85 
Airbus A340 family,A340, 277 
Airbus A350 family,A350, 472 
Airbus A380 family,A380, 248 
Boeing 747 family,B747, 661 
Boeing 757 family,B757, 880 
Boeing 767 family,B767, 1021 
Boeing 787 family,B787, 1025 
Bombardier Dash 8,DHCX, 1107 
Embraer E170 family,E17X, 881 
Embraer E190 family,E19X, 733 
Embraer E190-E2 family,E29X, 69 
Embraer ERJ family,ERJX, 694 
SAAB 340 / SAAB 2000 family,SFSB, 335 
