country_name,no_of_airports
Afghanistan,10
Albania,2
Algeria,23
AmericanSamoa,1
Angola,10
Anguilla,1
Antarctica,13
AntiguaAndBarbuda,1
Argentina,45
Armenia,2
Aruba,1
Australia,226
Austria,11
Azerbaijan,7
Bahamas,28
Bahrain,2
Bangladesh,8
Barbados,1
Belarus,6
Belgium,6
Belize,8
Benin,1
Bermuda,1
Bhutan,4
Bolivia,17
BosniaAndHerzegovina,4
Botswana,4
Brazil,186
Brunei,1
Bulgaria,6
BurkinaFaso,1
Burundi,1
Cambodia,3
Cameroon,9
Canada,273
CapeVerde,7
CaymanIslands,3
CentralAfricanRepublic,2
Chad,1
Chile,20
China,239
Cocos(keeling)Islands,1
Colombia,56
Comoros,2
Congo,2
CookIslands,2
CostaRica,12
CoteD'ivoire(ivoryCoast),4
Croatia,9
Cuba,12
Curacao,1
Cyprus,3
Czechia,11
DemocraticRepublicOfTheCongo,16
Denmark,20
Djibouti,1
Dominica,2
DominicanRepublic,8
Ecuador,12
Egypt,16
ElSalvador,2
EquatorialGuinea,2
Eritrea,1
Estonia,5
Eswatini,2
Ethiopia,18
FalklandIslands(malvinas),2
FaroeIslands,1
Fiji,11
Finland,22
France,123
FrenchGuiana,1
FrenchPolynesia,29
Gabon,2
Gambia,1
Georgia,3
Germany,115
Ghana,4
Gibraltar,1
Greece,39
Greenland,15
Grenada,1
Guadeloupe,4
Guam,1
Guatemala,5
Guernsey,1
Guinea,1
Guinea-bissau,1
Guyana,3
Haiti,3
Honduras,6
HongKong,1
Hungary,9
Iceland,16
India,118
Indonesia,116
Iran,64
Iraq,6
Ireland,9
IsleOfMan,1
Israel,3
Italy,62
Jamaica,3
Japan,82
Jersey,1
Jordan,3
Kazakhstan,22
Kenya,19
Kiribati,5
Kosovo,1
Kuwait,1
Kyrgyzstan,3
Laos,8
Latvia,3
Lebanon,1
Lesotho,1
Liberia,1
Libya,10
Lithuania,4
Luxembourg,1
Macao,1
Madagascar,12
Malawi,2
Malaysia,35
Maldives,17
Mali,2
Malta,1
MarshallIslands,2
Martinique,1
Mauritania,3
Mauritius,2
Mayotte,1
Mexico,65
Micronesia,4
Moldova,1
Monaco,1
Mongolia,8
Montenegro,2
Montserrat,1
Morocco,20
Mozambique,11
Myanmar(burma),25
Namibia,9
Nauru,1
Nepal,20
Netherlands,16
NewCaledonia,10
NewZealand,36
Nicaragua,2
Niger,2
Nigeria,20
NorthKorea,1
NorthMacedonia,2
NorthernMarianaIslands,3
Norway,55
Oman,6
Pakistan,21
Palau,1
Panama,9
PapuaNewGuinea,30
Paraguay,2
Peru,27
Philippines,48
Poland,24
Portugal,26
PuertoRico,8
Qatar,3
Reunion,2
Romania,18
Russia,156
Rwanda,2
SaintHelena,2
SaintKittsAndNevis,2
SaintLucia,2
SaintPierreAndMiquelon,1
SaintVincentAndTheGrenadines,5
Samoa,1
SaoTomeAndPrincipe,2
SaudiArabia,27
Senegal,4
Serbia,3
Seychelles,2
SierraLeone,2
Singapore,2
Slovakia,6
Slovenia,3
SolomonIslands,4
Somalia,7
SouthAfrica,25
SouthKorea,15
SouthSudan,4
Spain,56
SriLanka,6
Sudan,7
Suriname,2
Sweden,50
Switzerland,16
Syria,4
Taiwan,16
Tajikistan,4
Tanzania,21
Thailand,35
Timor-leste(eastTimor),3
Togo,1
Tonga,3
TrinidadAndTobago,2
Tunisia,8
Turkey,55
Turkmenistan,6
TurksAndCaicosIslands,3
Tuvalu,1
Uganda,1
Ukraine,20
UnitedArabEmirates,12
UnitedKingdom,109
UnitedStates,1290
UnitedStatesMinorOutlyingIslands,1
Uruguay,2
Uzbekistan,12
Vanuatu,5
Venezuela,21
Vietnam,22
"VirginIslands,British",3
"VirginIslands,Us",2
WallisAndFutuna,2
Yemen,5
Zambia,5
Zimbabwe,3
